price,year,manufacturer,model,condition,fuel,title_status,transmission,drive,type,paint_color
1000,1997,ford,f-150,good,gas,clean,automatic,4wd,pickup,red
2500,2006,saturn,ion,excellent,gas,clean,automatic,fwd,sedan,white
8900,2012,volkswagen,cc,excellent,gas,clean,automatic,fwd,sedan,grey
28995,2016,ram,1500,good,gas,clean,automatic,4wd,truck,blue
23995,2015,ram,1500 4x4,like new,gas,clean,automatic,4wd,truck,grey
4250,2004,chevrolet,silverado,fair,gas,clean,manual,4wd,pickup,red
7495,2013,ford,edge limited sel,excellent,gas,clean,automatic,fwd,SUV,white
24990,2017,fiat,124 spider classica,good,gas,clean,other,rwd,other,black
39590,2018,toyota,4runner limited sport,good,gas,clean,other,4wd,other,red
4995,2008,bmw,3-series,excellent,gas,clean,automatic,rwd,sedan,grey
500,2017,toyota,camry,excellent,gas,clean,automatic,fwd,sedan,green
4900,2007,ford,ranger,excellent,gas,clean,automatic,rwd,pickup,white
10995,2007,chevrolet,tahoe ltz,good,gas,clean,automatic,4wd,SUV,black
16590,2020,kia,soul s wagon 4d,good,gas,clean,other,fwd,wagon,silver
28250,2017,lexus,es,excellent,gas,clean,automatic,fwd,sedan,black
28990,2013,mercedes-benz,cls-class cls 550,good,gas,clean,other,rwd,coupe,white
31590,2018,lexus,nx 300 sport utility 4d,good,gas,clean,other,fwd,hatchback,black
22995,2002,chevrolet,camaro,good,gas,clean,manual,rwd,coupe,red
1200,2002,hyundai,santa fe,good,gas,clean,automatic,fwd,SUV,green
18998,2017,mazda,cx-5,good,gas,clean,automatic,fwd,SUV,blue
1700,2001,ford,windstar van,good,gas,clean,automatic,fwd,mini-van,silver
18990,2018,kia,sorento lx sport utility 4d,good,gas,clean,automatic,fwd,SUV,blue
2500,2001,pontiac,firebird,fair,gas,clean,automatic,rwd,convertible,white
16590,2015,volkswagen,beetle 1.8t fleet,good,gas,clean,other,fwd,hatchback,black
11900,2008,ford,explorer sport trac,excellent,gas,clean,automatic,4wd,pickup,brown
8999,2016,nissan,versa,excellent,gas,clean,automatic,fwd,sedan,black
9800,2017,nissan,nv200,excellent,gas,clean,automatic,fwd,mini-van,white
13500,2011,audi,s5,excellent,gas,clean,automatic,4wd,coupe,black
26995,2002,lexus,sc430,like new,gas,clean,automatic,rwd,convertible,purple
3700,2007,ford,explorer,good,gas,clean,automatic,4wd,truck,brown
26995,2008,ford,super duty f-350 20k m/flat bed reg cab/,good,gas,clean,automatic,rwd,pickup,blue
25990,2018,acura,rdx technology pkg sport,good,gas,clean,other,fwd,other,blue
33990,2018,gmc,sierra 1500 double cab sle,good,gas,clean,other,4wd,pickup,white
3999,2007,ford,escape xlt,excellent,gas,clean,automatic,fwd,SUV,red
37590,2017,chevrolet,colorado crew cab zr2,good,other,clean,other,4wd,pickup,blue
23990,2020,toyota,corolla hatchback xse 4d,good,gas,clean,other,fwd,hatchback,blue
17590,2016,volkswagen,beetle 1.8t s,good,gas,clean,automatic,fwd,hatchback,red
12999,2012,ford,transit connect wagon,excellent,gas,clean,automatic,fwd,mini-van,silver
18995,2011,jeep,wrangler,excellent,gas,clean,other,4wd,SUV,black
5500,2008,ford,edge sel,excellent,gas,clean,automatic,4wd,SUV,black
14995,2014,toyota,rav4,excellent,gas,clean,automatic,4wd,SUV,white
3995,2010,hyundai,elantra,excellent,gas,clean,automatic,fwd,sedan,silver
32000,1963,chevrolet,nova ss,like new,gas,clean,automatic,rwd,coupe,white
31900,2019,ford,transit,like new,gas,clean,automatic,rwd,van,white
21995,2017,bmw,3-series,good,gas,clean,automatic,rwd,sedan,custom
12000,2003,dodge,grand caravan wheelchair,excellent,gas,clean,automatic,rwd,mini-van,silver
3200,2005,toyota,corolla,excellent,gas,clean,automatic,fwd,sedan,silver
6790,2007,ram,1500,good,gas,clean,automatic,rwd,truck,custom
